condition,text_version,field,comparison,facet,metric,param,target_proposal_uid,target_cohort,n_human_reviews,human_value,ai_value,paired_diff
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::1,,4,1.1555645892362856,1.2435897795623787,-0.08802519032609313
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::10,,4,1.1768583384978224,1.2751023806650288,-0.09824404216720639
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::11,,4,1.1996512268139141,1.2602941433557362,-0.06064291654182208
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::12,,4,1.2075245064343578,1.223855413328196,-0.016330906893838204
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::2,,3,1.1653140265200586,1.2317000952219093,-0.06638606870185071
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::3,,4,1.2103578354016968,1.2093174647268574,0.0010403706748394193
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::4,,4,1.1398497848655054,1.2687436414691113,-0.12889385660360597
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::5,,4,1.2144128706467583,1.2496993260481948,-0.03528645540143649
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::6,,4,1.163541437340109,1.2705520696333903,-0.10701063229328134
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::7,,4,1.1852096401723362,1.2575039889516362,-0.07229434877929997
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::8,,5,1.256735650113759,1.2551836181292506,0.001552031984508373
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y1::9,,3,1.197868511938864,1.2114098321697193,-0.013541320230855414
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::1,,3,1.1584255519080622,1.1993243612181113,-0.04089880931004908
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::10,,3,1.213534367413194,1.2023702987279374,0.011164068685256545
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::11,,4,1.1852696414292405,1.2728473704437167,-0.08757772901447614
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::2,,3,1.1845392406663662,1.2296496187978037,-0.04511037813143748
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::3,,4,1.1824650038765467,1.2423293003401685,-0.05986429646362179
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::4,,2,1.1136952587731195,1.1503600598704524,-0.036664801097332944
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::5,,4,1.1746204228862689,1.253322195242626,-0.078701772356357
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::6,,4,1.1704228440718982,1.2591970956566072,-0.08877425158470897
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::7,,4,1.1951259428016479,1.2576732527076024,-0.06254730990595458
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::8,,3,1.1756528351144286,1.2410125905297453,-0.06535975541531669
baseline,rephrased,whole,human_vs_pooled_ai,richness,vendi,q=1,y2::9,,4,1.2030478369979642,1.2765924703525708,-0.07354463335460659
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::1,,4,2.9699940492965724,2.561377742916263,0.40861630638030944
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::10,,4,2.8357933275312353,2.6316703683662475,0.2041229591649878
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::11,,4,2.9567889661512305,2.5807565689357883,0.37603239721544224
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::12,,4,2.720645889980325,2.7108657286699533,0.009780161310371849
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::2,,3,1.9340487676408102,1.816102705235914,0.11794606240489625
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::3,,4,2.788157969612927,2.7509055870529213,0.037252382560005515
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::4,,4,2.6486803424103207,2.3988700565304932,0.24981028587982745
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::5,,4,2.7498383626836915,2.676811443776212,0.07302691890747948
baseline,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,,y1::6,,4,2.9171708721251126,2.619052808389322,0.29811806373579053
